Dates,Account name,Customer ID,Campaign,Campaign bid strategy,Currency code,Cost,Impr.,Search impr. share,Search lost IS (budget),Search lost IS (rank),Clicks,Click share,Phone calls,Conversions,Cost / conv.,Avg. target CPA,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Total Available Impr.,Lost to Budget,Lost to Rank,LP Calls,Web Reservations,Calls,Resv.,Main Conversions,tCPA,Brand,Engine,Camp Type,Category,Category 1,Category 2,Region,Category 3
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_TEXAS_WHEEL ALIGNMENT,BP - Texas - Maximize Conversion - Non Brand - Wheel Alignment,USD,3552.05,16552,0.4192,0.0107,0.5701,1283,0.3076,263,341.88,10.39,0,15.5,0,0,0,0,77.5,0,0,0,0,39485,422.48949999999996,22510.398500000003,15.5,77.5,279,78,356,9,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,TEXAS,WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_MIDWEST_OTHER SERVICES,BP - Midwest - Maximize Conversion - Non Brand - Services,USD,1581.46,16455,0.2958,0,0.7042,614,0.1712,198,209.01,7.57,0,3,0,0,0,0,24.5,0,0,0,0,55629,0,39173.9418,3,24.5,201,25,226,6.5,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,MIDWEST,OTHER SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_COLORADO_BRAKES,BP - Colorado - Maximize Conversion - Non Brand - Brakes,USD,5712.98,14662,0.3556,0.0051,0.6394,1071,0.426,148,245.56,23.27,0,14,0,0,0,0,85.58,0,0,0,0,41232,210.28320000000002,26363.7408,14,85.58,162,86,248,19.32,BP,G,SEM,NB BRAKES,NB,BRAKES,COLORADO,BRAKES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_ARIZONA_BRAKES,BP - Arizona - Maximize Conversion - Non Brand - Brakes,USD,6429.3,14427,0.3719,0.048,0.5801,1331,0.4187,229,315.02,20.41,0,18.5,0,0,0,0,74.03,0,0,0,0,38793,1862.064,22503.8193,18.5,74.03,248,74,322,16,BP,G,SEM,NB BRAKES,NB,BRAKES,ARIZONA,BRAKES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_COLORADO_BRAND ONLY,BP - Colorado - Maximize Conversion - Brand,USD,3458.14,9111,0.8499,0,0.1501,2536,0.5972,741,1148.07,3.01,0,20,0,0,0,0,440.18,0,0,0,0,10720,0,1609.0720000000001,20,440.18,761,440,1201,2.5,BP,G,SEM,BR,BR,BR,COLORADO,BRAND ONLY
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_COLORADO_COMPETITION,BP - Colorado - Maximize Conversion - Competitors,USD,358.19,9030,0.3339,0.0005,0.6656,175,0.05,51,47.33,7.57,0,3.5,0,0,0,0,3.83,0,0,0,0,27044,13.522,18000.486399999998,3.5,3.83,55,4,58,4,BP,G,SEM,CP,CP,CP,COLORADO,COMPETITION
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_TEXAS_BRAND ONLY,BP - Texas - Maximize Conversion - Brand,USD,3056.68,8502,0.8595,0,0.1405,2209,0.6323,572,741.22,4.12,0,18,0,0,0,0,214.57,0,0,0,0,9892,0,1389.8260000000002,18,214.57,590,215,805,3.5,BP,G,SEM,BR,BR,BR,TEXAS,BRAND ONLY
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_MIDWEST_BRAKES,BP - Midwest - Maximize Conversion - Non Brand - Brakes,USD,2577.14,8350,0.3528,0,0.6472,611,0.3704,120,157.06,16.41,0,10,0,0,0,0,39.03,0,0,0,0,23668,0,15317.9296,10,39.03,130,39,169,14.85,BP,G,SEM,NB BRAKES,NB,BRAKES,MIDWEST,BRAKES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_COLORADO_OTHER SERVICES,BP - Colorado - Maximize Conversion - Non Brand - Services,USD,579.04,7789,0.1526,0.0082,0.8391,267,0.05,87,96.65,5.99,0,1,0,0,0,0,10.5,0,0,0,0,51042,418.54440000000005,42829.3422,1,10.5,88,11,99,5,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,COLORADO,OTHER SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_COLORADO_BRAND+,BP - Colorado - Maximize Conversion - Brand,USD,3165.57,7399,0.8149,0.0016,0.1834,2183,0.5948,766,1011.61,3.13,0,25.99,0,0,0,0,277.99,0,0,0,0,9080,14.528,1665.2720000000002,25.99,277.99,792,278,1070,2.5,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_COLORADO_WHEEL ALIGNMENT,BP - Colorado - Maximize Conversion - Non Brand - Wheel Alignment,USD,2153.59,7032,0.4737,0.0168,0.5095,606,0.3342,119,194.25,11.09,0,17.5,0,0,0,0,57.25,0,0,0,0,14845,249.396,7563.527499999999,17.5,57.25,137,57,194,9,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,COLORADO,WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_ARIZONA_WHEEL ALIGNMENT,BP - Arizona - Maximize Conversion - Non Brand - Wheel Alignment,USD,1173.03,6646,0.4533,0,0.5467,490,0.3145,73,116.3,10.09,0,9,0,0,0,0,30.75,0,0,0,0,14661,0,8015.168699999999,9,30.75,82,31,113,7.8,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,ARIZONA,WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_TEXAS_Competition,BP - Texas - Maximize Conversion - Competitors,USD,605.15,6405,0.4139,0,0.5861,312,0.2048,88,97.41,6.21,0,5,0,0,0,0,17.5,0,0,0,0,15475,0,9069.8975,5,17.5,93,18,111,4,BP,G,SEM,CP,CP,CP,TEXAS,Competition
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_TEXAS_BRAND+,BP - Texas - Maximize Conversion - Brand,USD,3108.38,6382,0.9026,0,0.0974,1740,0.6312,611,676.65,4.59,0,10.5,0,0,0,0,116.76,0,0,0,0,7071,0,688.7154,10.5,116.76,622,117,738,3.5,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_COLORADO_BRAKES_T2,BP - Colorado - T2 -  Maximize Conversion - Non Brand - Brakes,USD,1527.04,6369,0.35,0,0.65,359,0.3478,34,62.68,24.36,0,6,0,0,0,0,18.33,0,0,0,0,18197,0,11828.050000000001,6,18.33,40,18,58,18.63,BP,G,SEM,NB BRAKES T2,NB,BRAKES,COLORADO,BRAKES_T2
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_ARIZONA_BRAKES_T2,BP - Arizona - T2 -  Maximize Conversion - Non Brand - Brakes,USD,1161.33,6311,0.3472,0,0.6528,372,0.3258,31,60.99,19.04,0,5.5,0,0,0,0,24.15,0,0,0,0,18177,0,11865.945600000001,5.5,24.15,37,24,61,15.37,BP,G,SEM,NB BRAKES T2,NB,BRAKES,ARIZONA,BRAKES_T2
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_ARIZONA_BRAND ONLY,BP - Arizona - Maximize Conversion - Brand,USD,2232.69,5181,0.8799,0,0.1201,1301,0.664,391,543.13,4.11,0,15,0,0,0,0,169.56,0,0,0,0,5888,0,707.1487999999999,15,169.56,406,170,576,3.5,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND ONLY
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_TEXAS_FIRESTONE,BP - Texas - Maximize Conversion - Competitors,USD,240.29,4771,0.2849,0,0.7151,109,0.05,38,35.74,6.72,0,1,0,0,0,0,0.5,0,0,0,0,16746,0,11975.0646,1,0.5,39,1,40,4,BP,G,SEM,CP,CP,CP,TEXAS,FIRESTONE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_ARIZONA_OTHER SERVICES,BP - Arizona - Maximize Conversion - Non Brand - Services,USD,369.47,4540,0.1343,0.005,0.8606,309,0.1185,49,77,4.8,0,4,0,0,0,0,24.17,0,0,0,0,33805,169.025,29092.583000000002,4,24.17,53,24,77,3.75,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,ARIZONA,OTHER SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_MIDWEST_BRAND ONLY,BP - Midwest - Maximize Conversion - Brand,USD,1322.7,4146,0.8789,0,0.1211,1057,0.6258,346,446.84,2.96,0,14,0,0,0,0,124.98,0,0,0,0,4717,0,571.2287,14,124.98,360,125,485,2.5,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND ONLY
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_MIDWEST_WHEEL ALIGNMENT,BP - Midwest - Maximize Conversion - Non Brand - Wheel Alignment,USD,1194.51,4058,0.5307,0,0.4693,363,0.4702,58,100.99,11.83,0,4,0,0,0,0,36.73,0,0,0,0,7647,0,3588.7371,4,36.73,62,37,99,9,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,MIDWEST,WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_MIDWEST_BRAND+,BP - Midwest - Maximize Conversion - Brand,USD,1757.9,3949,0.8915,0,0.1085,1150,0.6162,419,501.58,3.5,0,14.8,0,0,0,0,116.07,0,0,0,0,4430,0,480.655,14.8,116.07,434,116,550,2.5,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_ARIZONA_BRAND+,BP - Arizona - Maximize Conversion - Brand,USD,2034.86,3901,0.9228,0,0.0772,1063,0.6687,365,426.86,4.77,0,13.5,0,0,0,0,89.85,0,0,0,0,4227,0,326.3244,13.5,89.85,379,90,468,3.5,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_ARIZONA_Competition,BP - Arizona - Maximize Conversion - Competitors,USD,109.76,2369,0.2214,0,0.7786,103,0.1003,29,37.95,2.89,0,1,0,0,0,0,10.67,0,0,0,0,10700,0,8331.02,1,10.67,30,11,41,2.65,BP,G,SEM,CP,CP,CP,ARIZONA,Competition
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_TEXAS_BRAND+WHEEL ALIGNMENT,BP - Texas - Maximize Conversion - Brand,USD,773.41,2195,0.8383,0,0.1617,610,0.619,153,170.83,4.53,0,1,0,0,0,0,29.11,0,0,0,0,2618,0,423.3306,1,29.11,154,29,183,3.5,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_TEXAS_BRAND+SERVICES,BP - Texas - Maximize Conversion - Brand,USD,368.29,1822,0.772,0,0.228,539,0.6342,74,85.31,4.32,0,3,0,0,0,0,13.67,0,0,0,0,2360,0,538.08,3,13.67,77,14,91,3.5,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_TEXAS_WALMART,BP - Texas - Maximize Conversion - Competitors,USD,36.73,1567,0.2044,0.016,0.7796,23,0.05,6,8.33,4.41,0,0,0,0,0,0,2.5,0,0,0,0,7666,122.656,5976.4136,0,2.5,6,3,9,4,BP,G,SEM,CP,CP,CP,TEXAS,WALMART
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_COLORADO_BRAND+SERVICES,BP - Colorado - Maximize Conversion - Brand,USD,134.33,1408,0.7378,0,0.2622,505,0.6401,33,48.46,2.77,0,3,0,0,0,0,17.47,0,0,0,0,1908,0,500.2776,3,17.47,36,17,53,2.5,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_ARIZONA_BRAND+SERVICES,BP - Arizona - Maximize Conversion - Brand,USD,585.69,1370,0.845,0,0.155,475,0.6564,133,157.41,3.72,0,0,0,0,0,0,30.61,0,0,0,0,1621,0,251.255,0,30.61,133,31,164,3.5,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_COLORADO_MIDAS,BP - Colorado - Maximize Conversion - Competitors,USD,33.73,1111,0.4266,0.0005,0.5729,14,0.05,7,5.5,6.13,0,0,0,0,0,0,0,0,0,0,0,2604,1.302,1491.8316,0,0,7,0,7,4,BP,G,SEM,CP,CP,CP,COLORADO,MIDAS
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_TEXAS_MIDAS,BP - Texas - Maximize Conversion - Competitors,USD,37.92,1077,0.3919,0,0.6081,24,0.1049,7,6.5,5.83,0,0,0,0,0,0,0.5,0,0,0,0,2748,0,1671.0588,0,0.5,7,1,8,4,BP,G,SEM,CP,CP,CP,TEXAS,MIDAS
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_COLORADO_FIRESTONE,BP - Colorado - Maximize Conversion - Competitors,USD,93.91,1063,0.2537,0,0.7463,40,0.05,16,20.87,4.5,0,1,0,0,0,0,4.87,0,0,0,0,4190,0,3126.997,1,4.87,17,5,22,4,BP,G,SEM,CP,CP,CP,COLORADO,FIRESTONE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_COLORADO_BRAND+WHEEL ALIGNMENT,BP - Colorado - Maximize Conversion - Brand,USD,99.9,999,0.7173,0,0.2827,134,0.4097,12,14.99,6.66,0,0,0,0,0,0,5.5,0,0,0,0,1393,0,393.8011,0,5.5,12,6,18,2.5,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_MIDWEST_COMPETITION,BP - Midwest - Maximize Conversion - Competitors,USD,57.01,916,0.3773,0,0.6227,25,0.1054,15,12.17,4.69,0,0,0,0,0,0,0,0,0,0,0,2428,0,1511.9156,0,0,15,0,15,4,BP,G,SEM,CP,CP,CP,MIDWEST,COMPETITION
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_MIDWEST_FIRESTONE,BP - Midwest - Maximize Conversion - Competitors,USD,60.6,849,0.2741,0,0.7259,30,0.1101,6,5.67,10.69,0,0,0,0,0,0,0,0,0,0,0,3097,0,2248.1123,0,0,6,0,6,4,BP,G,SEM,CP,CP,CP,MIDWEST,FIRESTONE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_MIDWEST_MIDAS,BP - Midwest - Maximize Conversion - Competitors,USD,66.39,834,0.4611,0,0.5389,30,0.1463,10,11.33,5.86,0,0,0,0,0,0,1.33,0,0,0,0,1809,0,974.8701000000001,0,1.33,10,1,11,4,BP,G,SEM,CP,CP,CP,MIDWEST,MIDAS
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_ARIZONA_BRAND+WHEEL ALIGNMENT,BP - Arizona - Maximize Conversion - Brand,USD,186.2,790,0.7895,0,0.2105,181,0.531,46,55.61,3.35,0,1,0,0,0,0,9.75,0,0,0,0,1001,0,210.7105,1,9.75,47,10,57,3.5,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_COLORADO_BRAND+OIL CHANGE,BP - Colorado - Maximize Conversion - Brand,USD,87.3,658,0.8144,0,0.1856,174,0.5495,8,20.54,4.25,0,0.5,0,0,0,0,11.46,0,0,0,0,808,0,149.9648,0.5,11.46,9,11,20,2.5,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_TEXAS_BRAND+OIL CHANGE,BP - Texas - Maximize Conversion - Brand,USD,125.42,579,0.8333,0,0.1667,169,0.5833,17,28.85,4.35,0,2,0,0,0,0,10.02,0,0,0,0,695,0,115.8565,2,10.02,19,10,29,3.5,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_MIDWEST_WALMART,BP - Midwest - Maximize Conversion - Competitors,USD,18.81,499,0.3211,0.0142,0.6647,12,0.1024,1,2,9.4,0,0,0,0,0,0,1,0,0,0,0,1554,22.0668,1032.9438,0,1,1,1,2,4,BP,G,SEM,CP,CP,CP,MIDWEST,WALMART
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_ARIZONA_BRAND+OIL CHANGE,BP - Arizona - Maximize Conversion - Brand,USD,112.03,473,0.8553,0,0.1447,112,0.5846,6,19.5,5.74,0,0,0,0,0,0,12.92,0,0,0,0,553,0,80.0191,0,12.92,6,13,19,3.5,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_COLORADO_WALMART,BP - Colorado - Maximize Conversion - Competitors,USD,15.12,466,0.175,0,0.825,7,0.05,1,1,15.12,0,0,0,0,0,0,0,0,0,0,0,2663,0,2196.975,0,0,1,0,1,4,BP,G,SEM,CP,CP,CP,COLORADO,WALMART
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_ARIZONA_FIRESTONE,BP - Arizona - Maximize Conversion - Competitors,USD,12.79,402,0.153,0,0.847,11,0.05,3,5,2.56,0,0,0,0,0,0,2,0,0,0,0,2627,0,2225.069,0,2,3,2,5,2.65,BP,G,SEM,CP,CP,CP,ARIZONA,FIRESTONE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_MIDWEST_BRAND+OIL CHANGE,BP - Midwest - Maximize Conversion - Brand,USD,38.58,362,0.7584,0,0.2416,72,0.4984,1,9,4.29,0,0,0,0,0,0,6.83,0,0,0,0,477,0,115.2432,0,6.83,1,7,8,2.5,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_MIDWEST_BRAND+SERVICES,BP - Midwest - Maximize Conversion - Brand,USD,26.19,337,0.6679,0,0.3321,99,0.5799,7,9.93,2.64,0,2.67,0,0,0,0,1,0,0,0,0,505,0,167.7105,2.67,1,10,1,11,2.5,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_BR_MIDWEST_BRAND+WHEEL ALIGNMENT,BP - Midwest - Maximize Conversion - Brand,USD,16.54,265,0.7297,0,0.2703,35,0.4,2,5,3.31,0,0,0,0,0,0,1.2,0,0,0,0,363,0,98.1189,0,1.2,2,1,3,2.5,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+WHEEL ALIGNMENT
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_ARIZONA_MIDAS,BP - Arizona - Maximize Conversion - Competitors,USD,3.15,203,0.155,0,0.845,1,0.05,1,1,3.15,0,0,0,0,0,0,0,0,0,0,0,1310,0,1106.95,0,0,1,0,1,2.65,BP,G,SEM,CP,CP,CP,ARIZONA,MIDAS
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NS 5112_TEXAS,BP - TEXAS - Maximize Conversions - Non-Brand - New Stores,USD,23,174,0.2411,0,0.7589,8,0.1067,1,2,11.5,0,0,0,0,0,0,1,0,0,0,0,722,0,547.9258,0,1,1,1,2,9.5,0,0,0,0,0,0,0,0
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_ARIZONA_WALMART,BP - Arizona - Maximize Conversion - Competitors,USD,0,153,0.05,0.0686,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060,209.916,2907,0,0,0,0,0,2.65,BP,G,SEM,CP,CP,CP,ARIZONA,WALMART
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_TEXAS_GOODYEAR,BP - Texas - Maximize Conversion - Competitors,USD,0.93,109,0.3025,0,0.6975,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,251.1,0,0,0,0,0,4,BP,G,SEM,CP,CP,CP,TEXAS,GOODYEAR
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_MIDWEST_GOODYEAR,BP - Midwest - Maximize Conversion - Competitors,USD,0,79,0.3399,0,0.6601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,153.1432,0,0,0,0,0,4,BP,G,SEM,CP,CP,CP,MIDWEST,GOODYEAR
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_COLORADO_GOODYEAR,BP - Colorado - Maximize Conversion - Competitors,USD,0.43,59,0.2488,0,0.7512,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,178.0344,0,0,0,0,0,4,BP,G,SEM,CP,CP,CP,COLORADO,GOODYEAR
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_CP_ARIZONA_GOODYEAR,BP - Arizona - Maximize Conversion - Competitors,USD,0.22,58,0.05,0,0.95,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,1102,0,0,0,0,0,2.65,BP,G,SEM,CP,CP,CP,ARIZONA,GOODYEAR
